,brand,vintage,rating,price,num_ratings,location
87,Château d'Esclans,Garrus Rosé 2020,4.6,119.95,100,"Côtes de Provence, France"
88,Wine & Soul,Douro Quinta da Manoella VV Tinto 2018,4.6,115.8,93,"Douro, Portugal"
89,Forstmeister Geltz-Zilliken,Saarburger Rausch Riesling Auslese 2005,4.6,169.99,87,"Mosel, Germany"
90,Dominio del Bendito,El Titán del Bendito 2019,4.6,81.99,67,"Toro, Spain"
91,Cupano,Brunello di Montalcino Riserva 2015,4.6,169.99,63,"Brunello di Montalcino, Italy"
92,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2015,4.6,414.4,61,"Amarone della Valpolicella, Italy"
93,Château Le Gay,Pomerol 2016,4.6,179.99,52,"Pomerol, France"
94,Henri Giraud,Argonne 2013,4.6,499.0,49,"Champagne Grand Cru 'Aÿ', France"
95,Artadi,La Poza de Ballesteros 2009,4.6,185.0,46,"Vino de España, Spain"
96,Château l'Évangile,Pomerol 2018,4.6,354.99,44,"Pomerol, France"
97,Remírez de Ganuza,Rioja Reserva 1997,4.6,165.0,43,"Rioja, Spain"
98,Château Magdelaine,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1983,4.6,399.99,37,"Saint-Émilion Grand Cru, France"
99,Billecart-Salmon,Cuvée Elisabeth Salmon Brut Rosé Champagne 2009,4.6,188.3,33,"Champagne, France"
100,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2016,4.6,123.5,32,"Valpolicella, Italy"
101,Cupano,Brunello di Montalcino Riserva 2016,4.6,169.99,32,"Brunello di Montalcino, Italy"
102,E. Guigal,Ermitage Ex-Voto Blanc 2017,4.6,251.1,30,"Hermitage, France"
103,Miles,Tinta Negra 1996,4.6,147.99,27,"Madeira, Portugal"
104,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2010,4.5,324.99,2105,"Pauillac, France"
105,Laurent-Perrier,Grand Siècle Champagne (Grande Cuvée) N.V.,4.5,259.99,9178,"Champagne, France"
106,Pago de Carraovejas,Tinto 2019,4.5,49.99,4684,"Ribera del Duero, Spain"
107,W. & J. Graham's,30 Year Old Tawny Port N.V.,4.5,119.95,3312,"Porto, Portugal"
108,Antinori,Castello della Sala Cervaro della Sala 2019,4.5,54.99,2710,"Umbria, Italy"
109,Carpano,Antica Formula Vermouth N.V.,4.5,41.99,2493,"Piemonte, Italy"
110,Viña Cobos,Bramare Malbec Lujan de Cuyo 2019,4.5,44.98,2251,"Lujan de Cuyo, Argentina"
111,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2009,4.5,334.99,2138,"Pauillac, France"
112,San Marzano,60 Sessantanni Old Vines Primitivo di Manduria 2017,4.5,37.99,14091,"Primitivo di Manduria, Italy"
113,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2005,4.5,279.99,2076,"Pauillac, France"
114,Penfolds,Grandfather 20 Year Old Rare Tawny N.V.,4.5,64.99,1926,"Barossa, Australia"
115,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2014,4.5,199.0,1745,"Bolgheri Superiore, Italy"
116,Pintia,Toro 2017,4.5,104.99,1620,"Toro, Spain"
117,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves) 2015,4.5,164.99,1597,"Pessac-Léognan, France"
118,Sena,Aconcagua Valley 2015,4.5,149.0,1543,"Aconcagua Valley, Chile"
119,Prats & Symington (P+S),Chryseia Douro 2016,4.5,96.99,1423,"Douro, Portugal"
120,Sena,Aconcagua Valley 2010,4.5,119.99,1364,"Aconcagua Valley, Chile"
121,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 1995,4.5,489.97,1339,"Pauillac, France"
122,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2015,4.5,174.99,1305,"Pauillac, France"
123,Alión,Ribera del Duero 2003,4.5,170.0,1268,"Ribera del Duero, Spain"
124,Taylor's,30 Year Old Tawny Port N.V.,4.5,142.99,1265,"Porto, Portugal"
125,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2010,4.5,345.99,1257,"Pauillac, France"
126,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2006,4.5,319.99,1229,"Saint-Julien, France"
127,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 1986,4.5,399.99,1201,"Pauillac, France"
128,Sena,Aconcagua Valley 2012,4.5,139.99,1199,"Aconcagua Valley, Chile"
129,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,4.5,379.99,1179,"Saint-Émilion Grand Cru, France"
130,Sena,Aconcagua Valley 2011,4.5,139.99,1173,"Aconcagua Valley, Chile"
131,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2007,4.5,350.0,1120,"Valpolicella, Italy"
132,Sena,Aconcagua Valley 2016,4.5,125.0,1084,"Aconcagua Valley, Chile"
133,Cortes de Cima,Incógnito 2014,4.5,105.0,1070,"Alentejano, Portugal"
134,Braida,Bricco dell'Uccellone Barbera d'Asti 2018,4.5,95.99,1025,"Barbera d'Asti, Italy"
135,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2010,4.5,399.99,1001,"Saint-Estèphe, France"
136,Sena,Aconcagua Valley 2009,4.5,148.0,992,"Aconcagua Valley, Chile"
137,Château Margaux,Pavillon Rouge du Château Margaux 2009,4.5,325.0,987,"Margaux, France"
138,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2005,4.5,469.99,973,"Saint-Julien, France"
139,Casa Ferreirinha,Quinta da Leda Douro 2018,4.5,95.99,954,"Douro, Portugal"
140,Cos d'Estournel,Cos d'Estournel 2010,4.5,459.99,953,"Saint-Estèphe, France"
141,Bodegas Tradición,Pedro Ximenez Tradición 20 Years Old Vos N.V.,4.5,129.99,926,"Pedro Ximénez Sherry (PX), Spain"
142,Sandeman,30 Years Old Tawny Porto N.V.,4.5,124.99,922,"Porto, Portugal"
143,Donnafugata,Ben Ryé Passito di Pantelleria 2019,4.5,54.99,850,"Passito di Pantelleria, Italy"
144,Clos Apalta,Clos Apalta 2007,4.5,237.5,835,"Apalta Valley, Chile"
145,Château Pichon Baron,Pauillac (Grand Cru Classé) 2016,4.5,284.99,832,"Pauillac, France"
146,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2013,4.5,129.99,820,"Valpolicella, Italy"
147,Armand de Brignac,Brut Rosé Champagne N.V.,4.5,499.99,802,"Champagne, France"
148,Casanova di Neri,Tenuta Nuova Brunello di Montalcino 2016,4.5,149.99,782,"Brunello di Montalcino, Italy"
149,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2019,4.5,129.98,700,"Bolgheri Superiore, Italy"
150,Veuve Clicquot,La Grande Dame Brut Champagne 2012,4.5,199.99,698,"Champagne, France"
151,Arzuaga,Reserva Ribera del Duero 2017,4.5,54.99,697,"Ribera del Duero, Spain"
152,Château Troplong Mondot,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.5,179.97,690,"Saint-Émilion Grand Cru, France"
153,Viña Vik Winery,La Piu Belle 2019,4.5,92.99,668,"Cachapoal Valley, Chile"
154,Billecart-Salmon,Cuvée Elisabeth Salmon Brut Rosé Champagne 2008,4.5,259.99,657,"Champagne, France"
155,Château Haut-Bailly,Château Haut-Bailly (Cru Classé de Graves) 2009,4.5,349.99,645,"Pessac-Léognan, France"
156,El Enemigo,Gran Enemigo 2017,4.5,84.99,643,"Mendoza, Argentina"
157,Bollinger,La Grande Année Brut Champagne 2014,4.5,249.99,637,"Champagne, France"
158,Viña Cobos,Vinculum Malbec 2018,4.5,71.99,579,"Mendoza, Argentina"
159,Muga,Prado Enea Gran Reserva 2015,4.5,100.8,569,"Rioja, Spain"
160,Dow's,30 Years Old Tawny Port N.V.,4.5,135.0,565,"Porto, Portugal"
161,Quinta do Crasto,Touriga Nacional 2016,4.5,78.3,552,"Douro, Portugal"
162,Gaja,Pieve Santa Restituta Sugarille Brunello di Montalcino 2004,4.5,384.95,544,"Brunello di Montalcino, Italy"
163,Don Melchor,Cabernet Sauvignon 2019,4.5,140.0,533,"Puente Alto, Chile"
164,Remírez de Ganuza,Trasnocho 2012,4.5,145.0,524,"Rioja, Spain"
165,Catena Zapata,Nicolás Catena Zapata 2018,4.5,64.99,517,"Mendoza, Argentina"
166,Bodega Norton,Gernot 2015,4.5,87.98,500,"Lujan de Cuyo, Argentina"
167,Zuccardi,Finca Canal Uco 2015,4.5,115.95,492,"Paraje Altamira, Argentina"
168,Clos Apalta,Clos Apalta 2018,4.5,99.99,481,"Apalta Valley, Chile"
169,Stefano Accordini,Acinatico Amarone della Valpolicella Classico 2018,4.5,39.99,477,"Amarone della Valpolicella Classico, Italy"
170,Billecart-Salmon,Cuvée Nicolas François Billecart Brut Champagne 2007,4.5,206.99,465,"Champagne, France"
171,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2014,4.5,129.99,449,"Valpolicella, Italy"
172,Dow's,Vintage Port 1994,4.5,144.4,445,"Porto, Portugal"
173,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos 2014,4.5,78.99,439,"Ribera del Duero, Spain"
174,Viña Cobos,Bramare Malbec Uco Valley 2019,4.5,39.95,414,"Uco Valley, Argentina"
175,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 1997,4.5,255.0,403,"Bolgheri Superiore, Italy"
176,Gaja,Sperss Barolo 2014,4.5,320.0,376,"Barolo, Italy"
177,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2016,4.5,379.99,373,"Pauillac, France"
178,Bodegas Mauro,VS 2017,4.5,95.9,369,"Castilla y León, Spain"
179,Fontodi,Flaccianello della Pieve 2018,4.5,185.0,368,"Colli della Toscana Centrale, Italy"
180,Milsetentayseis,Tinto 2018,4.5,69.9,365,"Ribera del Duero, Spain"
181,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.5,384.99,363,"Saint-Émilion Grand Cru, France"
182,Cos d'Estournel,Cos d'Estournel 2015,4.5,279.99,330,"Saint-Estèphe, France"
183,Almaviva,Almaviva 2019,4.5,149.99,320,"Puente Alto, Chile"
184,Marqués de Riscal,Barón de Chirel Rioja Reserva 2016,4.5,74.9,295,"Rioja, Spain"
185,Château Margaux,Pavillon Rouge du Château Margaux 2016,4.5,276.0,293,"Margaux, France"
186,Churchill's,Vintage Port 2011,4.5,152.99,293,"Porto, Portugal"
187,Arzuaga,Gran Reserva Ribera del Duero 2015,4.5,112.99,292,"Ribera del Duero, Spain"
188,Casanova di Neri,Tenuta Nuova Brunello di Montalcino 2017,4.5,145.0,274,"Brunello di Montalcino, Italy"
189,Frerejean Frères,VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut N.V.,4.5,179.0,272,"Champagne, France"
190,Contino,Viña del Olivo 2017,4.5,161.5,266,"Rioja, Spain"
191,Mascarello Giuseppe e Figlio,Barolo Monprivato 2015,4.5,225.0,227,"Barolo, Italy"
192,Espectacle del Montsant,Tinto 2013,4.5,161.99,224,"Montsant, Spain"
193,Emilio Moro,Malleolus de Valderramiro 2018,4.5,161.5,223,"Ribera del Duero, Spain"
194,Château Mouton Rothschild,Le Petit Mouton de Mouton Rothschild Pauillac 2016,4.5,399.99,220,"Pauillac, France"
195,Delamotte,Collection Blanc de Blancs Champagne Grand Cru 'Le Mesnil-sur-Oger 1999,4.5,399.99,219,"Champagne Grand Cru 'Le Mesnil-sur-Oger', France"
196,Bodegas Mauro,VS 2018,4.5,97.6,214,"Castilla y León, Spain"
197,Château Rieussec,Sauternes (Premier Grand Cru Classé) 1986,4.5,249.99,212,"Sauternes, France"
198,Biondi-Santi,Brunello di Montalcino 2016,4.5,236.2,207,"Brunello di Montalcino, Italy"
199,Viña Cobos,Bramare Zingaretti Vineyard Malbec 2017,4.5,104.99,206,"Uco Valley, Argentina"
200,Argiolas,Turriga Isola dei Nuraghi 2018,4.5,90.1,200,"Isola dei Nuraghi, Italy"
201,Biserno,Bibbona 2019,4.5,166.45,198,"Toscana, Italy"
202,Brunelli,Amarone della Valpolicella Classico 2019,4.5,34.99,197,"Amarone della Valpolicella Classico, Italy"
203,Rocca di Frassinello,Baffonero Maremma Toscana 2015,4.5,245.0,194,"Maremma Toscana, Italy"
204,Château Latour,Les Forts de Latour Pauillac 2015,4.5,428.99,191,"Pauillac, France"
205,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2015,4.5,129.99,191,"Valpolicella, Italy"
206,Cos d'Estournel,Cos d'Estournel 2018,4.5,309.99,186,"Saint-Estèphe, France"
207,Pinea,17 2019,4.5,61.99,186,"Ribera del Duero, Spain"
208,Château La Fleur-Pétrus,Pomerol 2017,4.5,250.0,184,"Pomerol, France"
209,La Spinetta,Vürsù Barbaresco Valeirano 2008,4.5,219.99,183,"Barbaresco, Italy"
210,Dominio de Cair,Cruz del Pendón 2014,4.5,98.99,182,"Ribera del Duero, Spain"
211,Zuccardi,Finca Piedra Infinita 2017,4.5,169.99,167,"Paraje Altamira, Argentina"
212,Dow's,40 Years Old Tawny Port N.V.,4.5,206.5,165,"Porto, Portugal"
213,Château Maillet,Pomerol 2018,4.5,39.99,159,"Pomerol, France"
214,Coppo,Pomorosso Nizza 2018,4.5,69.99,158,"Nizza, Italy"
215,Château Lafaurie-Peyraguey,Sauternes (Premier Grand Cru Classé) 1986,4.5,119.99,151,"Sauternes, France"
216,Ossian,Capitel 2018,4.5,105.0,146,"Castilla y León, Spain"
217,Emilio Moro,Malleolus de Sanchomartin 2018,4.5,182.0,145,"Ribera del Duero, Spain"
218,Billecart-Salmon,Cuvée Louis Blanc de Blancs Brut Champagne 2008,4.5,195.98,142,"Champagne, France"
219,Poggio San Polo,Podernovi Brunello di Montalcino 2015,4.5,149.99,123,"Brunello di Montalcino, Italy"
220,Zenato,Amarone della Valpolicella Classico Riserva (Sergio Zenato) 2016,4.5,125.0,122,"Amarone della Valpolicella Classico, Italy"
221,Martinet,Camí Pesseroles 2010,4.5,148.99,121,"Priorat, Spain"
222,D'Oliveiras,Terrantez Madeira 1977,4.5,365.4,121,"Madeira, Portugal"
223,Dom Pérignon,Lady Gaga Edition Brut Champagne 2010,4.5,349.99,121,"Champagne, France"
224,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018,4.5,369.99,120,"Saint-Émilion Grand Cru, France"
225,Sierra Cantabria,Finca el Bosque 2018,4.5,135.0,115,"Rioja, Spain"
226,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2018,4.5,284.99,114,"Saint-Estèphe, France"
227,Cousiño-Macul,Lota 2017,4.5,86.99,111,"Maipo Valley, Chile"
228,Elderton,Command Single Vineyard Shiraz 2017,4.5,66.99,111,"Barossa, Australia"
229,Epifanio Rivera,Erial Tradición Familia 2019,4.5,42.99,111,"Ribera del Duero, Spain"
230,Artadi,Grandes Añadas Rioja 2001,4.5,299.0,107,"Rioja, Spain"
231,Gramona,Cava Celler Batlle 2009,4.5,112.2,105,"Cava, Spain"
232,Sandrone,Barolo Le Vigne 2017,4.5,144.99,105,"Barolo, Italy"
233,Quintarelli Giuseppe,Veneto Alzero Cabernet 2012,4.5,449.99,103,"Veneto, Italy"
234,Two Hands,Ares 2006,4.5,189.99,103,"Barossa Valley, Australia"
235,Viña Cobos,Zingaretti Estate Malbec 2018,4.5,111.99,100,"Uco Valley, Argentina"
236,Cartuxa,Pêra-Manca Branco 2020,4.5,39.99,95,"Evora, Portugal"
237,Viña Cobos,Marchiori Estate Cabernet Sauvignon 2018,4.5,109.99,95,"Perdriel, Argentina"
238,Bodegas El Nido,Clio 2020,4.5,69.99,94,"Jumilla, Spain"
239,Castiglion del Bosco,Campo del Drago Brunello di Montalcino 2016,4.5,189.99,93,"Brunello di Montalcino, Italy"
240,Henri Giraud,MV 2016,4.5,178.0,93,"Champagne Grand Cru 'Aÿ', France"
241,Masseria Cardillo,Baruch 2016,4.5,48.99,92,"Basilicata, Italy"
242,Castello di Ama,L'Apparita 2016,4.5,215.0,92,"Toscana, Italy"
243,Château Margaux,Pavillon Rouge du Château Margaux 2018,4.5,274.99,91,"Margaux, France"
244,Pietro Zardini,Pietro Junior Amarone della Valpolicella 2018,4.5,36.99,85,"Amarone della Valpolicella, Italy"
245,Château d'Esclans,Les Clans Rosé 2020,4.5,80.2,83,"Côtes de Provence, France"
246,Piper-Heidsieck,Rare Brut Rosé Champagne (Millésimé) 2008,4.5,499.99,83,"Champagne, France"
247,Francois et Antoine Jobard,Meursault 2019,4.5,95.0,77,"Meursault, France"
248,Viñedo Chadwick,Red 2018,4.5,365.0,75,"Maipo Valley, Chile"
249,Il Borro,Syrah Toscana Alessandro dal Borro 2015,4.5,220.0,70,"Toscana, Italy"
250,Jacquesson,Champ Cain Brut Champagne Grand Cru 'Avize' 2009,4.5,229.99,70,"Champagne Grand Cru 'Avize', France"
251,Latium Morini,Campo León Amarone della Valpolicella 2017,4.5,36.99,70,"Amarone della Valpolicella, Italy"
252,Catena Zapata,Malbec Argentino 2020,4.5,109.94,69,"Mendoza, Argentina"
253,Pères de l'Église,Le Calice de Saint Pierre Châteauneuf-du-Pape Rouge 2021,4.5,27.99,69,"Châteauneuf-du-Pape, France"
254,Sandeman,Vintage Port 2011,4.5,102.99,67,"Porto, Portugal"
255,Martinet,Camí Pesseroles 2012,4.5,134.99,65,"Priorat, Spain"
256,Garbole,Hatteso Amarone della Valpolicella Riserva 2009,4.5,349.0,62,"Amarone della Valpolicella, Italy"
257,Hospices de Beaune,Meursault-Genevrières Premier Cru Cuvée Baudot 2009,4.5,149.99,62,"Meursault Premier Cru, France"
258,Dominio del Águila,Gran Reserva Peñas Aladas 2012,4.5,210.0,62,"Ribera del Duero, Spain"
259,Salicutti,Piaggione Brunello di Montalcino 2016,4.5,84.99,61,"Brunello di Montalcino, Italy"
260,Gaja,Barbaresco 2019,4.5,329.99,61,"Barbaresco, Italy"
261,Marchesi de' Cordano,Santinumi Riserva 2015,4.5,29.99,60,"Montepulciano d'Abruzzo Colline Teramane, Italy"
262,La Colombina,Brunello di Montalcino 2017,4.5,36.99,59,"Brunello di Montalcino, Italy"
263,Château de Beaucastel,Châteauneuf-du-Pape 2020,4.5,107.99,57,"Châteauneuf-du-Pape, France"
264,Azienda Santa Barbara - Stefano Antonucci,Mossone 2018,4.5,55.0,53,"Marche, Italy"
265,Duemani,Duemani Cabernet Franc 2018,4.5,169.99,53,"Costa Toscana, Italy"
266,Matarromera,Ribera del Duero Prestigio Pago de las Solanas 2010,4.5,299.0,51,"Ribera del Duero, Spain"
267,Joseph Drouhin,Corton-Charlemagne Grand Cru 2018,4.5,285.0,50,"Corton-Charlemagne Grand Cru, France"
268,Lan,Culmen Reserva Rioja 2017,4.5,77.99,49,"Rioja, Spain"
269,Gaja,Gaia & Rey Langhe 2020,4.5,344.99,48,"Langhe, Italy"
